# ESTABLISHED: Sa(193) is unsolvable in 10 tests, so Sa(10)=192 is maximal.
#
# Proof source: proof-safe cold AWS run9, one uninterrupted solver session from an empty cache.
# Archive: sa193-cold-2026-08-16:run9_out_sa193.txt
# Source commit: e7fa747264476461a234bf78e49762ee77ad8d8d
# Build ID: 219a8753a3caf79cf7a160cb220a7305b8d914d1bfd8989d52861d1cc1407de4
# Raw SHA-256: ba635d9141601ebb643ed4f102703deb112fc3e8260f4936e8545fe44a300cf4
# Raw size: 365340502 bytes, 3174576 lines
#
# The run carried complete embedded provenance and passed tools/check_provenance.py. Its positive
# control returned `result CONTROL Sa(192) in 10 = SOLVABLE  (479.2 s)`. The audit interpreted
# 857 comparable states and found zero contradictions. The run printed zero rb-tainted contraction
# suppressions: the proof-safe fix was present, but the affected shortcut was never used.
#
# Sa(n) in k splits into a taken group of n1 and the rest, requiring Sa(n1) in k-1 and
# Sb(n1 : n-n1) in k-1. Since the proven k=9 maximum is Sa(112), Sa(193) in 10 can use only
# n1=97..112. Run9 exhaustively refuted every one of those sixteen states:

can't solve Sb(112:81)[9072,193] in 9 took 140577 totalsplits=974 pass=6 fast_solve=0 probe=shared
can't solve Sb(111:82)[9102,193] in 9 took 92970 totalsplits=887 pass=6 fast_solve=0 probe=shared
can't solve Sb(110:83)[9130,193] in 9 took 57657 totalsplits=860 pass=5 fast_solve=0 probe=shared
can't solve Sb(109:84)[9156,193] in 9 took 38415 totalsplits=779 pass=5 fast_solve=0 probe=shared
can't solve Sb(108:85)[9180,193] in 9 took 26034 totalsplits=693 pass=5 fast_solve=0 probe=shared
can't solve Sb(107:86)[9202,193] in 9 took 18200 totalsplits=681 pass=4 fast_solve=0 probe=shared
can't solve Sb(106:87)[9222,193] in 9 took 13114 totalsplits=619 pass=4 fast_solve=0 probe=shared
can't solve Sb(105:88)[9240,193] in 9 took 9640 totalsplits=560 pass=4 fast_solve=0 probe=shared
can't solve Sb(104:89)[9256,193] in 9 took 7182 totalsplits=536 pass=3 fast_solve=0 probe=shared
can't solve Sb(103:90)[9270,193] in 9 took 5349 totalsplits=494 pass=3 fast_solve=0 probe=shared
can't solve Sb(102:91)[9282,193] in 9 took 3915 totalsplits=457 pass=3 fast_solve=0 probe=shared
can't solve Sb(101:92)[9292,193] in 9 took 2732 totalsplits=425 pass=3 fast_solve=0 probe=shared
can't solve Sb(100:93)[9300,193] in 9 took 1805 totalsplits=436 pass=2 fast_solve=0 probe=shared
can't solve Sb(99:94)[9306,193] in 9 took 1075 totalsplits=409 pass=2 fast_solve=0 probe=shared
can't solve Sb(98:95)[9310,193] in 9 took 530 totalsplits=429 pass=1 fast_solve=0 probe=shared
can't solve Sb(97:96)[9312,193] in 9 took 148 totalsplits=412 pass=1 fast_solve=0 probe=shared
result Sa(193) in 10 = UNSOLVABLE  (419353.1 s)

# Wrapper totals: 419849 wall seconds, 1.32 GB peak RSS, expected exit code 1 for a definitive
# UNSOLVABLE driver result. Sa(192) achievability is independently proved by verified witness trees.
#
# Historical note: the 2023 run reached the same conclusion in 4079185 solve seconds, but its build
# produced 37 known false negatives and therefore remained `legacy`. Its excerpt has been superseded
# here; the old raw logs remain archived only as a historical/performance record.
